Lead_ID,First_Name,Last_Name,Email,Phone_Number,Company_Name,Lead_Source,Lead_Status,Engagement_Score,Contact_Date
592d57d1-d979-42a4-b0f7-b2ceeba85bf9,Timothy,Kelly,francisco31@example.org,+1-303-717-7625x21610,Newton-Hill,Website,New,13,2024-03-17
2d625f21-d991-42e8-a707-8aa8cb524f42,William,Black,marylee@example.com,840.498.8298,"Lozano, Herrera and Sanders",Social Media,New,21,2024-08-31
a8df1426-4ba0-46aa-99e0-efa6af158545,Christopher,Ramirez,nhaas@example.com,001-771-230-2103x528,Reed-Nguyen,Referral,Qualified,3,2024-05-03
b7e7deaa-ea76-427c-add0-21e2ed8eb089,Jennifer,Kelly,bryan15@example.net,670-351-0419,Douglas-Mcintosh,Email Campaign,Converted,74,2024-05-27
392caf32-b031-44a6-a8fd-d50fc6974e4c,Brian,Lewis,joshua05@example.com,(269)673-5030,Fisher and Sons,Website,Contacted,96,2024-01-31
ad98649e-e6c1-4981-af8e-78011df71c70,Richard,Robinson,patrickblevins@example.org,8984077555,Jones PLC,Referral,Converted,100,2024-08-18
36d159bd-6257-42fb-bcd4-4736c16642a3,Jennifer,Gaines,hoffmankaren@example.org,637.703.0566x360,"Avery, George and Adkins",Email Campaign,Qualified,73,2024-03-06
354c3f0b-f532-4487-8d8e-1748eef96094,Zachary,Vaughn,xwall@example.com,(980)457-4364x381,Chapman-Haynes,Social Media,New,41,2024-07-03
a7538ae8-82d8-441f-818a-c5d1a8eb5897,Kimberly,Townsend,curtissmith@example.org,693.920.2865,Thornton Inc,Social Media,Converted,78,2024-06-23
93b97daf-29ed-42db-bd36-a51eb44389ef,Brian,Long,marcleblanc@example.com,2217679208,"Ruiz, Robinson and Sosa",Referral,Converted,10,2024-04-22
